id,quote_text,source_book,chapter,theme,tone,platform_recommendation,cta,footer,hashtags
quote_0001,The Father is greater than I.,Framing Jesus,Introduction,Jesus vs Yahweh,prophetic,all,Read the book,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker"
quote_0002,Why call me good? Only God is good.,Framing Jesus,Introduction,divine potential,gentle,all,Learn more,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #DivinePotential, #YouAreGods, #Consciousness, #RealityCreation"
quote_0003,Father... you are the only true God.,Framing Jesus,Introduction,Father's love,empathetic,facebook,Share your thoughts below,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #FathersLove, #TrueGod, #LoveNotFear, #Restoration"
quote_0004,What if everything you thought you knew about Jesus is based on edited texts?,Framing Jesus,Introduction,textual changes,challenging,instagram,Follow for more truth,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker"
quote_0005,The pattern shows a consistent trajectory—Jesus being gradually elevated from subordinate to co-equal.,Framing Jesus,Chapter 1,manuscript evidence,revelatory,all,Visit www.ansiloboff.com,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker"
quote_0006,Irenaeus quoted Luke saying 'the Father is the Creator of all'—a verse that no longer exists in any modern Bible.,Framing Jesus,Chapter 1,textual changes,bold,instagram,Double tap if this resonates,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker"
quote_0007,"If eternal conscious torment is true, then the gospel isn't good news—it's COSMIC BLACKMAIL.",Escape the Hell Myth,Introduction,hell myth,defiant,facebook,Share your thoughts below,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #HellMyth, #EternalFire, #LoveNotFear, #NoMoreFear"
quote_0008,But Jesus never preached blackmail. He preached love that refuses to fail.,Escape the Hell Myth,Introduction,Father's love,empathetic,facebook,What do you think?,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #FathersLove, #TrueGod, #LoveNotFear, #Restoration"
quote_0009,No child ever imagines eternal flames. They have to be taught to.,Escape the Hell Myth,Chapter 1,hell myth,gentle,facebook,Comment below,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #HellMyth, #EternalFire, #LoveNotFear, #NoMoreFear"
quote_0010,The fire of Jesus reveals; it doesn't destroy.,Escape the Hell Myth,Chapter 1,healing,prophetic,all,Visit www.ansiloboff.com,www.ansiloboff.com,"#RediscoverJesus, #SpiritualTruth, #TruthSeeker, #Healing, #SpiritualHealing, #Transformation, #Recovery"
